	Locus	prob	log10(PO)	qval	alpha	fst
160	cgpGmo-S459	0.0084017	-2.072	0.80621	-0.0058382	0.016632
161	cgpGmo-S615	0.014403	-1.8353	0.72006	-0.012776	0.016566
162	cgpGmo-S393	0.0068014	-2.1644	0.83597	0.0031718	0.016753
163	cgpGmo-S481	0.010402	-1.9783	0.76975	0.0065376	0.016881
164	cgpGmo-S633	0.0094019	-2.0227	0.78829	-0.0051385	0.016637
165	cgpGmo-S550	0.0090018	-2.0417	0.79612	-0.0052563	0.016627
166	cgpGmo-S958	0.0066013	-2.1775	0.83857	-0.0033777	0.016642
167	cgpGmo-S2183	0.005201	-2.2816	0.86313	-0.00034496	0.016679
168	cgpGmo-S1805	0.0058012	-2.234	0.85399	0.00048566	0.016702
169	cgpGmo-S430a	0.017003	-1.762	0.67708	0.014109	0.017061
170	Gm1386_0216	0.009802	-2.0044	0.77982	0.0051488	0.016804
171	cgpGmo-S1466b	0.017003	-1.762	0.67708	0.014831	0.017081
172	cgpGmo-S1103	0.0064013	-2.1909	0.84273	0.0034762	0.016768
173	cgpGmo-S1802	0.005201	-2.2816	0.86313	-0.0030222	0.016645
174	cgpGmo-S311b	0.012803	-1.8871	0.74333	-0.010374	0.016578
175	Gm335_0159	1	1000	0	1.6531	0.076929
176	cgpGmo-S594	0.0076015	-2.1158	0.81972	-0.0045431	0.016631
177	cgpGmo-S628	0.013403	-1.8669	0.73131	0.010183	0.016958
178	cgpGmo-S322	0.34307	-0.28214	0.071724	0.4462	0.030661
179	cgpGmo-S765	0.015003	-1.8173	0.70421	-0.011901	0.016556
180	cgpGmo-S1706	0.9984	2.7951	0.00021147	1.3176	0.05816
181	cgpGmo-S609	0.0096019	-2.0135	0.78298	-0.0039208	0.016635
182	cgpGmo-S968	1	1000	0	1.6164	0.074492
183	cgpGmo-S517b	0.0074015	-2.1275	0.82415	-0.0037851	0.016643
184	cgpGmo-S398	0.012803	-1.8871	0.74333	-0.010176	0.016585
185	cgpGmo-S756a	0.086817	-1.022	0.20133	0.08716	0.019048
186	Gm394_0364	1	1000	0	2.7073	0.16944
187	cgpGmo-S666	0.0060012	-2.2191	0.85079	0.0010545	0.016704
188	cgpGmo-S1784	0.032006	-1.4806	0.48945	-0.036973	0.016361
189	cgpGmo-S1013	0.0068014	-2.1644	0.83597	-0.0017806	0.016664
190	cgpGmo-S23	0.029606	-1.5156	0.50866	0.030529	0.017586
191	cgpGmo-S2031	0.039008	-1.3916	0.43008	0.044499	0.018035
192	cgpGmo-S692a	0.060612	-1.1903	0.28395	-0.092329	0.015955
193	cgpGmo-S1979	0.012202	-1.9082	0.75126	-0.010664	0.016585
194	cgpGmo-S742b	0.005001	-2.2988	0.86553	-0.00094786	0.016671
195	cgpGmo-S838a	0.0072014	-2.1394	0.8286	-0.0034554	0.016645
196	Gm0986_0591	0.0090018	-2.0417	0.79612	-0.0050467	0.016621
197	cgpGmo-S608	0.0074015	-2.1275	0.82415	-0.003995	0.016635
198	cgpGmo-S1752	0.013403	-1.8669	0.73131	-0.011611	0.016567
199	cgpGmo-S220	0.014603	-1.8292	0.71407	-0.013574	0.016551
200	cgpGmo-S1166	1	1000	0	3.0318	0.21047
201	cgpGmo-S2137	0.0070014	-2.1518	0.83144	0.001672	0.016723
202	cgpGmo-S1890	0.014803	-1.8232	0.70923	-0.012689	0.016558
203	cgpGmo-S361	0.015603	-1.8	0.69441	-0.013138	0.016555
204	cgpGmo-S590	0.039408	-1.387	0.42449	-0.051053	0.01625
205	cgpGmo-S487	0.0036007	-2.442	0.87346	0.0018441	0.016725
206	cgpGmo-S167	0.020404	-1.6813	0.63344	-0.023757	0.016473
207	cgpGmo-S447	0.0092018	-2.0321	0.79264	-0.0067974	0.016612
208	cgpGmo-S925	0.012402	-1.9011	0.74867	0.0082786	0.016897
209	cgpGmo-S2232	0.0080016	-2.0933	0.81133	-0.0033979	0.016643
210	cgpGmo-S2058	0.0078016	-2.1044	0.81478	0.00090775	0.016717
211	cgpGmo-S1696	0.022404	-1.6398	0.60548	-0.02224	0.016468
212	cgpGmo-S793a	0.012803	-1.8871	0.74333	-0.01193	0.016571
213	cgpGmo-S463b	0.012803	-1.8871	0.74333	0.0086727	0.016925
214	cgpGmo-S46b	0.014603	-1.8292	0.71407	0.010233	0.016989
215	cgpGmo-S1830	0.9996	3.3977	3.45E-05	1.3098	0.057673
216	cgpGmo-S2019	0.0092018	-2.0321	0.79264	-0.0029625	0.016659
217	cgpGmo-S1390a	0.0076015	-2.1158	0.81972	0.0034012	0.016761
218	cgpGmo-S1644	0.021404	-1.6601	0.61816	0.015446	0.017059
219	cgpGmo-S1039b	0.9996	3.3977	3.45E-05	1.4115	0.063086
220	cgpGmo-S453	0.0058012	-2.234	0.85399	0.0011769	0.016707
221	cgpGmo-S2266	0.0088018	-2.0516	0.80048	-0.0041882	0.016638
222	cgpGmo-S1279	0.015403	-1.8057	0.69825	-0.014704	0.016548
223	cgpGmo-S1821	0.04781	-1.2992	0.35484	-0.070483	0.01613
224	cgpGmo-S2005	0.012202	-1.9082	0.75126	-0.010506	0.016578
225	cgpGmo-S1588a	0.004801	-2.3166	0.86756	-0.00089405	0.01667
226	cgpGmo-S2093	0.0054011	-2.2652	0.86	0.0007373	0.016699
227	cgpGmo-S341	0.036607	-1.4202	0.45643	-0.043924	0.016295
228	cgpGmo-S2018	0.027806	-1.5436	0.52263	-0.029578	0.016418
229	cgpGmo-S1504	0.018404	-1.727	0.65863	0.013936	0.017037
230	cgpGmo-S1035	0.0054011	-2.2652	0.86	0.00098935	0.016704
231	cgpGmo-S1360a	0.0078016	-2.1044	0.81478	-0.0048612	0.016634
232	cgpGmo-S191	0.014003	-1.8477	0.72455	-0.011987	0.01657
233	cgpGmo-S297	0.0060012	-2.2191	0.85079	-0.0030402	0.016648
234	cgpGmo-S537	0.0072014	-2.1394	0.8286	-0.0036507	0.016645
235	cgpGmo-S982a	0.0068014	-2.1644	0.83597	0.002992	0.016755
236	cgpGmo-S403	0.54731	0.082432	0.02897	0.67666	0.037087
237	Gm0974_0477	0.012002	-1.9155	0.75379	-0.0079127	0.016603
238	cgpGmo-S1039a	0.999	2.9995	0.00011387	1.3192	0.058195
239	cgpGmo-S505	0.0088018	-2.0516	0.80048	-0.0043511	0.016635
240	cgpGmo-S1868	0.0060012	-2.2191	0.85079	0.0021993	0.016736
241	cgpGmo-S951b	0.9922	2.1044	0.00072607	1.2967	0.057346
242	cgpGmo-S287a	0.36647	-0.23772	0.066404	0.44082	0.029734
243	cgpGmo-S493	0.090618	-1.0015	0.19046	0.11358	0.020241
244	cgpGmo-S848	0.010802	-1.9618	0.76573	-0.005285	0.016625
245	cgpGmo-S728	0.0066013	-2.1775	0.83857	0.0010105	0.016714
246	cgpGmo-S371	0.012002	-1.9155	0.75379	-0.0094801	0.016599
247	cgpGmo-S121	0.0054011	-2.2652	0.86	-0.00026666	0.01668
248	cgpGmo-S1803	0.011402	-1.938	0.76062	0.006984	0.016855
249	cgpGmo-S1721	0.023405	-1.6204	0.59192	-0.02495	0.016459
250	cgpGmo-S1179	0.0074015	-2.1275	0.82415	-0.0023853	0.016661
251	cgpGmo-S1647	0.0072014	-2.1394	0.8286	0.0027005	0.016741
252	cgpGmo-S2201	0.0070014	-2.1518	0.83144	-0.0022647	0.016658
253	cgpGmo-S1408	0.013003	-1.8803	0.73774	-0.0085215	0.016603
254	cgpGmo-S478	0.0046009	-2.3352	0.8694	0.0010843	0.016713
255	cgpGmo-S640b	0.0088018	-2.0516	0.80048	-0.0044984	0.016633
256	cgpGmo-S2180	0.0090018	-2.0417	0.79612	-0.0077858	0.016601
257	cgpGmo-S1634	0.010602	-1.97	0.76753	-0.0068717	0.016609
258	cgpGmo-S1692	0.997	2.5215	0.00040534	1.3292	0.059029
259	cgpGmo-S888	1	1000	0	1.8246	0.088027
260	cgpGmo-S438	0.005201	-2.2816	0.86313	0.00013718	0.016687
261	cgpGmo-S318	0.010202	-1.9869	0.77278	0.0066821	0.016837
262	cgpGmo-S1123	0.005201	-2.2816	0.86313	0.00027161	0.01669
263	cgpGmo-S2169	0.064813	-1.1592	0.2567	0.070018	0.018692
264	cgpGmo-S1073	0.024005	-1.6091	0.57584	-0.027665	0.016437
265	Gm0411_0388	0.5187	0.032507	0.037481	0.60546	0.034305
266	cgpGmo-S896	0.010002	-1.9955	0.7749	-0.0072537	0.016602
267	Gm1001_0189	0.014403	-1.8353	0.72006	-0.011011	0.016572
268	cgpGmo-S863	0.030006	-1.5096	0.50242	-0.039315	0.016353
269	cgpGmo-S1720	0.0074015	-2.1275	0.82415	-0.0047989	0.016635
270	cgpGmo-S2205	0.032406	-1.4751	0.48722	-0.04476	0.016308
271	Gm0236_0048	0.017804	-1.7417	0.66626	-0.019211	0.016511
272	cgpGmo-S282	0.45369	-0.080679	0.0469	0.53801	0.032554
273	cgpGmo-S1714	0.037808	-1.4057	0.44358	0.039493	0.017902
274	cgpGmo-S1046	0.015403	-1.8057	0.69825	-0.013695	0.016548
275	cgpGmo-S856a	0.022404	-1.6398	0.60548	-0.027026	0.016456
276	cgpGmo-S1263	0.015003	-1.8173	0.70421	-0.012427	0.016559
277	cgpGmo-S2048	0.019204	-1.7082	0.64961	-0.020873	0.016504
278	cgpGmo-S557	0.015003	-1.8173	0.70421	-0.01284	0.016566
279	Myo_1	0.0064013	-2.1909	0.84273	-0.0019276	0.016662
280	cgpGmo-S1066	0.023605	-1.6166	0.58909	-0.026573	0.016439
281	cgpGmo-S1927	0.0072014	-2.1394	0.8286	-0.0038054	0.016641
282	cgpGmo-S1018b	0.18044	-0.65726	0.10747	0.19701	0.022223
283	cgpGmo-S1914	0.013203	-1.8736	0.73369	-0.011476	0.01657
284	cgpGmo-S1027	0.018404	-1.727	0.65863	-0.017195	0.016512
285	cgpGmo-S1879	0.0072014	-2.1394	0.8286	-0.001566	0.016678
286	cgpGmo-S143	0.014003	-1.8477	0.72455	0.0091282	0.016904
287	cgpGmo-S40	0.005001	-2.2988	0.86553	0.00025759	0.01669
288	cgpGmo-S1202	1	1000	0	1.6038	0.073311
289	Gm332_1080	0.042208	-1.3559	0.40703	-0.056329	0.016214
290	cgpGmo-S516	0.0040008	-2.3961	0.872	2.79E-05	0.01668
291	cgpGmo-S1837	0.0058012	-2.234	0.85399	-0.0028576	0.016646
292	cgpGmo-S2242	1	1000	0	1.6223	0.074493
293	cgpGmo-S667	0.0038008	-2.4185	0.87267	-4.68E-05	0.01668
294	cgpGmo-S1078	0.0036007	-2.442	0.87346	-0.00145	0.016663
295	cgpGmo-S1024	0.0064013	-2.1909	0.84273	-0.000697	0.016681
296	cgpGmo-S2215	0.011602	-1.9304	0.75919	0.0076866	0.016873
297	cgpGmo-S126a	0.015403	-1.8057	0.69825	-0.014801	0.016544
298	cgpGmo-S234	0.0068014	-2.1644	0.83597	-0.0028059	0.016652
299	cgpGmo-S329	0.005001	-2.2988	0.86553	-0.0010982	0.016675
300	cgpGmo-S2285	0.019004	-1.7128	0.65267	-0.01864	0.016516
301	cgpGmo-S2126	0.0090018	-2.0417	0.79612	0.0048601	0.01679
302	cgpGmo-S347	0.010002	-1.9955	0.7749	0.0052496	0.016804
303	cgpGmo-S1563c	0.026405	-1.5667	0.54478	-0.031	0.01641
304	cgpGmo-S298	0.009802	-2.0044	0.77982	-0.0080769	0.016606
305	cgpGmo-S623	0.018204	-1.7319	0.66248	-0.017214	0.016527
306	cgpGmo-S771	0.62533	0.22245	0.016953	0.72463	0.037663
307	cgpGmo-S776b	0.0094019	-2.0227	0.78829	-0.0052461	0.016635
308	cgpGmo-S2111	0.0064013	-2.1909	0.84273	0.0029234	0.016743
309	cgpGmo-S572	0.023205	-1.6242	0.59471	-0.024451	0.016465
310	cgpGmo-S244	0.011202	-1.9458	0.76203	0.0063587	0.016836
311	cgpGmo-S122	0.026005	-1.5735	0.54999	-0.029103	0.016424
312	cgpGmo-S160	0.005001	-2.2988	0.86553	-0.00067431	0.016675
313	cgpGmo-S1506	0.12663	-0.83868	0.13819	-0.21318	0.015089
314	Gm_cyp19a1a_2_1	0.0068014	-2.1644	0.83597	-0.0035725	0.016642
315	cgpGmo-S1393b	0.065213	-1.1564	0.25195	-0.10327	0.015897
316	cgpGmo-S734	0.065213	-1.1564	0.25195	-0.10596	0.015894
317	cgpGmo-S218	0.004801	-2.3166	0.86756	-0.00052046	0.016678
318	cgpGmo-S916	0.0076015	-2.1158	0.81972	0.0045949	0.016802
319	cgpGmo-S1085b	0.0062012	-2.2048	0.84648	-0.0011902	0.016667
320	cgpGmo-S1407	0.0062012	-2.2048	0.84648	-0.0039983	0.016638
321	cgpGmo-S879	0.014203	-1.8414	0.722	0.0091927	0.016899
322	cgpGmo-S324	0.0072014	-2.1394	0.8286	0.0040813	0.016792
323	cgpGmo-S448	0.022204	-1.6438	0.60938	-0.024296	0.016472
324	cgpGmo-S1664	0.0070014	-2.1518	0.83144	-0.0036862	0.016642
325	cgpGmo-S20	0.021004	-1.6685	0.62537	-0.02275	0.016479
326	cgpGmo-S155	0.997	2.5215	0.00040534	1.7023	0.082911
327	cgpGmo-S867	0.026005	-1.5735	0.54999	0.021218	0.017231
328	cgpGmo-S157	0.9994	3.2215	7.10E-05	1.2949	0.05681
329	cgpGmo-S2177	0.0064013	-2.1909	0.84273	-0.0015444	0.016666
330	cgpGmo-S350	0.018004	-1.7368	0.66344	-0.017057	0.016523
331	cgpGmo-S889b	0.0074015	-2.1275	0.82415	-0.004709	0.016635
332	cgpGmo-S1337	0.010802	-1.9618	0.76573	-0.0069948	0.01661
333	cgpGmo-S1222	0.0060012	-2.2191	0.85079	-0.00015264	0.016687
334	cgpGmo-S98	0.0092018	-2.0321	0.79264	-0.0054307	0.016633
335	cgpGmo-S760	0.015403	-1.8057	0.69825	0.012634	0.017014
336	cgpGmo-S526	0.0058012	-2.234	0.85399	-0.0036932	0.016646
337	cgpGmo-S1992	1	1000	0	2.169	0.11469
338	cgpGmo-S336	0.0058012	-2.234	0.85399	0.00015229	0.016697
339	cgpGmo-S1162	0.0072014	-2.1394	0.8286	0.00065273	0.016704
340	cgpGmo-S1169	0.0056011	-2.2493	0.85672	-0.0015876	0.016662
341	cgpGmo-S130	0.014003	-1.8477	0.72455	0.0090705	0.016899
342	cgpGmo-S1687	0.0088018	-2.0516	0.80048	0.0046093	0.016802
343	cgpGmo-S292b	1	1000	0	2.4632	0.14253
344	cgpGmo-S89a	1	1000	0	1.6806	0.079325
345	cgpGmo-S396	0.009802	-2.0044	0.77982	0.006407	0.016832
346	cgpGmo-S252	0.0038008	-2.4185	0.87267	-0.00034045	0.016682
347	cgpGmo-S986	0.045609	-1.3207	0.37878	0.042408	0.017851
348	cgpGmo-S488	0.0040008	-2.3961	0.872	0.00094149	0.016697
349	cgpGmo-S794	0.013603	-1.8604	0.72889	-0.014901	0.016555
350	cgpGmo-S770	0.037407	-1.4105	0.44879	-0.050534	0.016273
351	cgpGmo-S286	0.0062012	-2.2048	0.84648	0.001417	0.016723
352	cgpGmo-S409	0.0060012	-2.2191	0.85079	0.0015101	0.016714
353	cgpGmo-S1893	0.004801	-2.3166	0.86756	0.0012191	0.016706
354	cgpGmo-S691	0.24305	-0.49337	0.095169	0.28753	0.025175
355	cgpGmo-S174	0.036607	-1.4202	0.45643	0.02733	0.01736
