	Locus	prob	log10(PO)	qval	alpha	fst
48	Locus_48	0.010402	-1.9783	0.97742	-0.00127	0.008119
49	Locus_49	0.011202	-1.9458	0.96841	0.0028975	0.0081685
50	Locus_50	0.010202	-1.9869	0.97909	-0.0030809	0.008101
51	Locus_51	0.036807	-1.4178	0.60937	0.049733	0.0093601
52	Locus_52	0.019804	-1.6946	0.81074	0.019765	0.0085061
53	Locus_53	0.009802	-2.0044	0.98143	-0.0031613	0.0081015
54	Locus_54	0.010002	-1.9955	0.98046	-0.0043214	0.0080892
55	Locus_55	0.010202	-1.9869	0.97909	0.0024163	0.0081744
56	Locus_56	0.0092018	-2.0321	0.98375	-0.0015202	0.0081145
57	Locus_57	0.010402	-1.9783	0.97742	-0.0063519	0.0080826
58	Locus_58	0.011002	-1.9537	0.97113	-0.00083473	0.0081338
59	Locus_59	0.010602	-1.97	0.97573	-0.001864	0.0081158
60	Locus_60	0.0090018	-2.0417	0.98432	-0.0029427	0.0080961
61	Locus_61	0.012803	-1.8871	0.935	0.0082373	0.0082585
62	Locus_62	0.0088018	-2.0516	0.9848	-0.0035541	0.0080947
63	Locus_63	0.0094019	-2.0227	0.98313	-0.0023287	0.008108
64	Locus_64	0.012002	-1.9155	0.95318	-0.0036614	0.0080971
65	Locus_65	0.011002	-1.9537	0.97113	-0.0051324	0.0081204
66	Locus_66	0.0082016	-2.0825	0.98589	-0.0026384	0.008106
67	Locus_67	0.0080016	-2.0933	0.98615	-0.0025287	0.0081068
68	Locus_68	0.011602	-1.9304	0.96165	0.0024892	0.0081622
69	Locus_69	0.010202	-1.9869	0.97909	-0.0017941	0.0081196
70	Locus_70	0.010002	-1.9955	0.98046	-0.0011452	0.0081114
71	Locus_71	0.0082016	-2.0825	0.98589	-0.0027966	0.0081011
72	Locus_72	0.0088018	-2.0516	0.9848	-0.0049586	0.008092
73	Locus_73	0.013203	-1.8736	0.9243	0.009008	0.008315
74	Locus_74	0.0068014	-2.1644	0.98682	0.00049189	0.0081242
75	Locus_75	0.0090018	-2.0417	0.98432	-0.00084237	0.0081138
76	Locus_76	0.010402	-1.9783	0.97742	-0.0039594	0.0081018
77	Locus_77	0.010802	-1.9618	0.97379	-0.0020808	0.0081162
78	Locus_78	0.0076015	-2.1158	0.9865	-0.0023701	0.0081095
79	Locus_79	0.0066013	-2.1775	0.98687	-0.0032704	0.0080908
80	Locus_80	0.010002	-1.9955	0.98046	-0.0028278	0.0081064
81	Locus_81	0.009802	-2.0044	0.98143	0.00062848	0.0081293
82	Locus_82	0.0096019	-2.0135	0.98232	-0.0017745	0.0081179
83	Locus_83	0.009802	-2.0044	0.98143	-0.00061484	0.0081286
84	Locus_84	0.010602	-1.97	0.97573	-0.00070642	0.0081175
85	Locus_85	0.009802	-2.0044	0.98143	0.00070796	0.0081441
86	Locus_86	0.037207	-1.4129	0.58794	0.050951	0.0091861
87	Locus_87	0.011002	-1.9537	0.97113	-0.0027505	0.0081036
88	Locus_88	0.0064013	-2.1909	0.98691	-0.0033335	0.0080977
89	Locus_89	0.0084017	-2.072	0.98559	-0.0010195	0.0081178
90	Locus_90	0.010202	-1.9869	0.97909	-0.0074665	0.0080864
91	Locus_91	0.0064013	-2.1909	0.98691	-0.0029022	0.0080943
92	Locus_92	0.39248	-0.18975	0.12004	0.72145	0.025492
93	Locus_93	0.016403	-1.7779	0.86173	0.011339	0.0083328
94	Locus_94	0.010402	-1.9783	0.97742	-0.0013932	0.0081262
95	Locus_95	0.010802	-1.9618	0.97379	-0.0042484	0.0081001
96	Locus_96	0.009802	-2.0044	0.98143	-0.0056007	0.0080881
97	Locus_97	0.028006	-1.5404	0.70671	0.035662	0.008986
98	Locus_98	0.0090018	-2.0417	0.98432	-0.00099399	0.0081182
99	Locus_99	0.021404	-1.6601	0.7859	0.020883	0.0085372
100	Locus_100	0.010402	-1.9783	0.97742	-0.001296	0.0081215
101	Locus_101	0.011602	-1.9304	0.96165	-0.0048075	0.0080929
102	Locus_102	0.010002	-1.9955	0.98046	-0.0030894	0.0080961
103	Locus_103	0.010402	-1.9783	0.97742	0.0052773	0.0081982
104	Locus_104	0.010202	-1.9869	0.97909	-0.0014919	0.0081135
105	Locus_105	0.0094019	-2.0227	0.98313	-0.0024679	0.0080984
106	Locus_106	0.0066013	-2.1775	0.98687	-0.0020239	0.0081026
107	Locus_107	0.0090018	-2.0417	0.98432	-0.00244	0.0081114
108	Locus_108	0.010202	-1.9869	0.97909	-0.0038738	0.0080941
109	Locus_109	0.010602	-1.97	0.97573	-0.00093298	0.0081326
110	Locus_110	0.010802	-1.9618	0.97379	0.0049393	0.0081876
111	Locus_111	0.012202	-1.9082	0.94901	-0.0016145	0.0081244
112	Locus_112	0.010802	-1.9618	0.97379	0.0012422	0.0081621
113	Locus_113	0.011002	-1.9537	0.97113	-0.00068818	0.008132
114	Locus_114	0.010402	-1.9783	0.97742	-0.0026077	0.0081072
115	Locus_115	0.010602	-1.97	0.97573	-0.0060519	0.0080863
116	Locus_116	0.0086017	-2.0617	0.98524	0.00066726	0.0081277
117	Locus_117	0.0092018	-2.0321	0.98375	-0.004525	0.0080921
118	Locus_118	0.0092018	-2.0321	0.98375	-0.0022003	0.0081115
119	Locus_119	0.010402	-1.9783	0.97742	-0.0019044	0.0081223
120	Locus_120	0.010602	-1.97	0.97573	-0.0018712	0.0081142
121	Locus_121	0.018004	-1.7368	0.83667	0.013436	0.0083525
122	Locus_122	0.013003	-1.8803	0.93037	-0.0047883	0.0081011
123	Locus_123	0.010402	-1.9783	0.97742	0.0010461	0.0081793
124	Locus_124	0.0096019	-2.0135	0.98232	0.0025092	0.0081574
125	Locus_125	0.0088018	-2.0516	0.9848	0.0026937	0.0081533
126	Locus_126	0.0096019	-2.0135	0.98232	-0.0020719	0.0081287
127	Locus_127	0.0086017	-2.0617	0.98524	0.0015855	0.0081553
128	Locus_128	0.010002	-1.9955	0.98046	0.0023529	0.0081752
129	Locus_129	0.011402	-1.938	0.96541	0.0025751	0.008169
130	Locus_130	0.0074015	-2.1275	0.98663	-0.0038357	0.008086
131	Locus_131	0.011602	-1.9304	0.96165	-0.0053521	0.0080889
132	Locus_132	0.0094019	-2.0227	0.98313	0.00025316	0.0081264
133	Locus_133	0.010202	-1.9869	0.97909	-0.0037683	0.0081052
134	Locus_134	0.0076015	-2.1158	0.9865	0.0010937	0.0081395
135	Locus_135	0.011202	-1.9458	0.96841	0.00207	0.0082309
136	Locus_136	0.010202	-1.9869	0.97909	0.0040615	0.0081995
137	Locus_137	0.0090018	-2.0417	0.98432	-0.0047544	0.0080845
138	Locus_138	0.032807	-1.4696	0.64592	0.045077	0.00911
139	Locus_139	0.0082016	-2.0825	0.98589	-0.00037621	0.0081323
140	Locus_140	0.0082016	-2.0825	0.98589	0.0022747	0.0081645
141	Locus_141	0.011002	-1.9537	0.97113	-0.0058138	0.00809
142	Locus_142	0.013203	-1.8736	0.9243	0.006304	0.0082623
143	Locus_143	0.010402	-1.9783	0.97742	0.0061056	0.008205
144	Locus_144	0.011602	-1.9304	0.96165	-0.0071262	0.0080911
145	Locus_145	0.010402	-1.9783	0.97742	-0.0051186	0.0080896
146	Locus_146	0.010202	-1.9869	0.97909	0.0026694	0.0081652
147	Locus_147	0.010602	-1.97	0.97573	0.0028723	0.0081818
148	Locus_148	0.0096019	-2.0135	0.98232	-3.74E-05	0.0081279
149	Locus_149	0.0084017	-2.072	0.98559	0.00050858	0.0081363
150	Locus_150	0.012002	-1.9155	0.95318	-0.0073863	0.0080742
151	Locus_151	0.0088018	-2.0516	0.9848	9.58E-05	0.0081304
152	Locus_152	0.0086017	-2.0617	0.98524	-0.0010754	0.0081163
153	Locus_153	0.0084017	-2.072	0.98559	0.00019288	0.0081338
154	Locus_154	0.009802	-2.0044	0.98143	-0.0030466	0.0081106
155	Locus_155	0.011602	-1.9304	0.96165	0.0048732	0.0082279
156	Locus_156	0.0084017	-2.072	0.98559	-0.0029426	0.0081119
157	Locus_157	0.0084017	-2.072	0.98559	-0.0010899	0.0081189
158	Locus_158	0.0088018	-2.0516	0.9848	-0.0066951	0.008073
159	Locus_159	0.010402	-1.9783	0.97742	-0.0029749	0.0081169
160	Locus_160	0.011202	-1.9458	0.96841	-0.00097695	0.00813
161	Locus_161	0.010802	-1.9618	0.97379	0.0040599	0.0081969
162	Locus_162	0.011002	-1.9537	0.97113	-0.0025528	0.0081263
163	Locus_163	0.011202	-1.9458	0.96841	0.0015044	0.0081491
164	Locus_164	0.010802	-1.9618	0.97379	-0.0044248	0.0080998
165	Locus_165	0.0086017	-2.0617	0.98524	0.0028016	0.0081542
166	Locus_166	0.0074015	-2.1275	0.98663	-0.0048041	0.0080826
167	Locus_167	0.0074015	-2.1275	0.98663	-0.00043306	0.0081116
168	Locus_168	0.0076015	-2.1158	0.9865	0.0024472	0.0081491
169	Locus_169	0.010002	-1.9955	0.98046	0.001244	0.008172
170	Locus_170	0.0092018	-2.0321	0.98375	-0.0016376	0.0081188
171	Locus_171	0.0094019	-2.0227	0.98313	0.00043968	0.0081464
172	Locus_172	0.0092018	-2.0321	0.98375	-0.0013741	0.0081165
173	Locus_173	0.0068014	-2.1644	0.98682	-0.0026169	0.0080959
174	Locus_174	0.0088018	-2.0516	0.9848	0.0022422	0.0081506
175	Locus_175	0.010002	-1.9955	0.98046	0.0035988	0.0081786
176	Locus_176	0.012202	-1.9082	0.94901	0.0040976	0.0081857
177	Locus_177	0.0076015	-2.1158	0.9865	-0.00043898	0.0081184
178	Locus_178	0.0060012	-2.2191	0.98696	-0.0016933	0.0081025
179	Locus_179	0.010602	-1.97	0.97573	-0.0053076	0.00809
180	Locus_180	0.0090018	-2.0417	0.98432	-0.0041677	0.0080899
181	Locus_181	0.0086017	-2.0617	0.98524	-0.0030903	0.0080979
182	Locus_182	0.0078016	-2.1044	0.98634	-0.00054632	0.0081145
183	Locus_183	0.0090018	-2.0417	0.98432	0.0006576	0.008134
184	Locus_184	0.0082016	-2.0825	0.98589	-0.00092116	0.0081153
185	Locus_185	0.010002	-1.9955	0.98046	-0.0027543	0.0081072
186	Locus_186	0.011402	-1.938	0.96541	-0.0032527	0.0081035
187	Locus_187	0.0092018	-2.0321	0.98375	0.00057214	0.0081307
188	Locus_188	0.0088018	-2.0516	0.9848	-0.0039535	0.0080941
189	Locus_189	0.010202	-1.9869	0.97909	-0.0054967	0.0080887
190	Locus_190	0.005001	-2.2988	0.98699	-0.0014052	0.0080962
191	Locus_191	0.010002	-1.9955	0.98046	-0.0022836	0.008111
192	Locus_192	0.0096019	-2.0135	0.98232	-0.0048845	0.008085
193	Locus_193	0.010202	-1.9869	0.97909	-0.00317	0.0080948
194	Locus_194	0.0094019	-2.0227	0.98313	-0.0018627	0.0081155
195	Locus_195	0.010602	-1.97	0.97573	-0.0029594	0.0081125
196	Locus_196	0.0088018	-2.0516	0.9848	-0.0048897	0.0080939
197	Locus_197	0.0074015	-2.1275	0.98663	0.00029412	0.0081306
198	Locus_198	0.0078016	-2.1044	0.98634	-0.0035412	0.0081022
199	Locus_199	0.0082016	-2.0825	0.98589	-0.0037266	0.0081031
200	Locus_200	0.011402	-1.938	0.96541	-0.001787	0.0081332
201	Locus_201	0.0084017	-2.072	0.98559	-0.0021703	0.0081182
202	Locus_202	0.0092018	-2.0321	0.98375	-0.0020046	0.0081397
203	Locus_203	0.010002	-1.9955	0.98046	0.0010571	0.0081652
204	Locus_204	0.012002	-1.9155	0.95318	-0.0028662	0.0081165
205	Locus_205	0.011402	-1.938	0.96541	-0.0039071	0.0081058
206	Locus_206	0.010602	-1.97	0.97573	0.0020513	0.0081641
207	Locus_207	0.010202	-1.9869	0.97909	-0.0048754	0.0080822
208	Locus_208	0.0094019	-2.0227	0.98313	-0.0039987	0.0080982
209	Locus_209	0.0096019	-2.0135	0.98232	-0.0021213	0.0081072
210	Locus_210	0.011802	-1.9229	0.95756	-0.0056761	0.0080876
211	Locus_211	0.0090018	-2.0417	0.98432	-0.0015159	0.0081128
212	Locus_212	0.0086017	-2.0617	0.98524	0.00059186	0.0081377
213	Locus_213	0.0066013	-2.1775	0.98687	0.0022268	0.0081476
214	Locus_214	0.0084017	-2.072	0.98559	0.0043031	0.0081707
215	Locus_215	0.0078016	-2.1044	0.98634	-0.0020044	0.0081039
216	Locus_216	0.0088018	-2.0516	0.9848	-0.0017143	0.0081119
217	Locus_217	0.0072014	-2.1394	0.98673	-0.00076742	0.0081155
218	Locus_218	0.0074015	-2.1275	0.98663	0.00098977	0.0081485
219	Locus_219	0.011602	-1.9304	0.96165	-0.0057379	0.008094
220	Locus_220	0.009802	-2.0044	0.98143	0.0010007	0.0081641
221	Locus_221	0.0092018	-2.0321	0.98375	0.0019079	0.0081576
222	Locus_222	0.010602	-1.97	0.97573	-0.0074772	0.0080732
223	Locus_223	0.0092018	-2.0321	0.98375	-0.0045356	0.0080904
224	Locus_224	0.029806	-1.5126	0.68905	0.034304	0.0087297
225	Locus_225	0.011002	-1.9537	0.97113	-0.0028315	0.0081201
226	Locus_226	0.0088018	-2.0516	0.9848	-0.0013303	0.0081213
227	Locus_227	0.0096019	-2.0135	0.98232	-0.0026416	0.0081073
228	Locus_228	0.0076015	-2.1158	0.9865	-0.002673	0.0080981
229	Locus_229	0.0066013	-2.1775	0.98687	-0.0025065	0.0081019
230	Locus_230	0.0070014	-2.1518	0.98678	-0.002334	0.0081029
231	Locus_231	0.010402	-1.9783	0.97742	-0.0018743	0.0081127
232	Locus_232	0.012603	-1.894	0.9404	-0.0012958	0.0081273
233	Locus_233	0.010602	-1.97	0.97573	0.0013497	0.0081497
234	Locus_234	0.0076015	-2.1158	0.9865	-0.0047279	0.0080836
235	Locus_235	0.0082016	-2.0825	0.98589	-0.00023138	0.0081284
236	Locus_236	0.020004	-1.6901	0.80396	0.022525	0.0086225
237	Locus_237	0.0088018	-2.0516	0.9848	-0.00039052	0.0081199
238	Locus_238	0.0092018	-2.0321	0.98375	-0.0030024	0.0081019
239	Locus_239	0.0096019	-2.0135	0.98232	-0.0022346	0.0081032
240	Locus_240	0.010602	-1.97	0.97573	0.0017153	0.0081457
241	Locus_241	0.011202	-1.9458	0.96841	0.0011171	0.0081743
242	Locus_242	0.0082016	-2.0825	0.98589	-0.001361	0.0081277
243	Locus_243	0.010202	-1.9869	0.97909	-0.0027828	0.008106
244	Locus_244	0.0094019	-2.0227	0.98313	0.0022964	0.0081634
245	Locus_245	0.0090018	-2.0417	0.98432	6.87E-06	0.008132
246	Locus_246	0.0096019	-2.0135	0.98232	-0.0024008	0.0081066
247	Locus_247	0.012402	-1.9011	0.94402	0.002349	0.0081665
248	Locus_248	0.0078016	-2.1044	0.98634	-0.0016416	0.0081068
249	Locus_249	0.0086017	-2.0617	0.98524	0.00069901	0.0081482
250	Locus_250	0.010402	-1.9783	0.97742	0.0047733	0.0082023
251	Locus_251	0.012202	-1.9082	0.94901	-0.0039139	0.0080959
252	Locus_252	0.010602	-1.97	0.97573	-0.0025045	0.0081265
253	Locus_253	0.0082016	-2.0825	0.98589	0.00053599	0.0081341
254	Locus_254	0.010802	-1.9618	0.97379	-0.00036675	0.0081407
255	Locus_255	0.0076015	-2.1158	0.9865	-0.0022655	0.008107
256	Locus_256	0.017403	-1.7517	0.84698	0.01502	0.0083701
257	Locus_257	0.0078016	-2.1044	0.98634	-0.0012932	0.0081052
258	Locus_258	0.0082016	-2.0825	0.98589	-0.0015852	0.0081092
259	Locus_259	0.010202	-1.9869	0.97909	-0.0018566	0.0081169
260	Locus_260	0.0086017	-2.0617	0.98524	-0.0011062	0.0081194
261	Locus_261	0.019804	-1.6946	0.81074	0.019303	0.0084955
262	Locus_262	0.011402	-1.938	0.96541	-0.00024079	0.0081503
263	Locus_263	0.0072014	-2.1394	0.98673	0.0047321	0.0081891
264	Locus_264	0.010202	-1.9869	0.97909	0.0021966	0.0081517
265	Locus_265	0.0096019	-2.0135	0.98232	0.0013614	0.0081425
266	Locus_266	0.0094019	-2.0227	0.98313	-0.00067074	0.0081344
267	Locus_267	0.0086017	-2.0617	0.98524	0.00076911	0.008142
268	Locus_268	0.010802	-1.9618	0.97379	-0.0023027	0.008121
269	Locus_269	0.0086017	-2.0617	0.98524	0.0017146	0.0081457
270	Locus_270	0.0094019	-2.0227	0.98313	0.00078864	0.0081476
271	Locus_271	0.0066013	-2.1775	0.98687	-0.0013918	0.0081148
272	Locus_272	0.010802	-1.9618	0.97379	-0.0020652	0.0081144
273	Locus_273	0.0088018	-2.0516	0.9848	-9.05E-05	0.0081203
274	Locus_274	0.010202	-1.9869	0.97909	-0.00049104	0.0081137
275	Locus_275	0.010802	-1.9618	0.97379	-0.00075843	0.0081461
276	Locus_276	0.015403	-1.8057	0.88043	0.011844	0.0083857
277	Locus_277	0.0084017	-2.072	0.98559	-0.0013032	0.0081149
278	Locus_278	0.010402	-1.9783	0.97742	-0.0041847	0.0080931
279	Locus_279	0.0090018	-2.0417	0.98432	-0.00054087	0.0081392
280	Locus_280	0.009802	-2.0044	0.98143	-0.0012539	0.0081281
281	Locus_281	0.0072014	-2.1394	0.98673	-0.0022119	0.0081012
282	Locus_282	0.0088018	-2.0516	0.9848	-0.0013696	0.0081024
283	Locus_283	0.0096019	-2.0135	0.98232	-0.0037253	0.0081075
284	Locus_284	0.011002	-1.9537	0.97113	0.00081057	0.0081637
285	Locus_285	0.010602	-1.97	0.97573	-0.00083264	0.0081253
286	Locus_286	0.0082016	-2.0825	0.98589	-0.0044693	0.0080929
287	Locus_287	0.0080016	-2.0933	0.98615	-0.0037099	0.0080968
288	Locus_288	0.010002	-1.9955	0.98046	-0.0042905	0.0080979
289	Locus_289	0.0078016	-2.1044	0.98634	0.0048506	0.0081923
290	Locus_290	0.011202	-1.9458	0.96841	-0.0018791	0.0081181
291	Locus_291	0.013203	-1.8736	0.9243	0.0074773	0.0082466
292	Locus_292	0.0090018	-2.0417	0.98432	-0.0013483	0.0081327
293	Locus_293	0.010002	-1.9955	0.98046	-0.0051702	0.0080862
294	Locus_294	0.010002	-1.9955	0.98046	-0.0033073	0.008099
295	Locus_295	0.0082016	-2.0825	0.98589	0.00049024	0.0081398
296	Locus_296	0.0070014	-2.1518	0.98678	-1.87E-05	0.0081224
297	Locus_297	0.0074015	-2.1275	0.98663	0.00081299	0.0081404
298	Locus_298	0.012002	-1.9155	0.95318	-0.0024219	0.0081362
299	Locus_299	0.0086017	-2.0617	0.98524	-0.00040798	0.0081275
300	Locus_300	0.010002	-1.9955	0.98046	-0.0027882	0.0081017
301	Locus_301	0.0092018	-2.0321	0.98375	-0.00062065	0.0081156
302	Locus_302	0.0076015	-2.1158	0.9865	-0.0006232	0.0081137
303	Locus_303	0.0060012	-2.2191	0.98696	-0.00024123	0.008116
304	Locus_304	0.0070014	-2.1518	0.98678	0.00072847	0.0081222
305	Locus_305	0.010602	-1.97	0.97573	0.00028714	0.0081354
306	Locus_306	0.023805	-1.6129	0.75673	0.021747	0.0085801
307	Locus_307	0.011202	-1.9458	0.96841	-0.0062553	0.0080768
308	Locus_308	0.0090018	-2.0417	0.98432	-0.0057578	0.0080833
309	Locus_309	0.0084017	-2.072	0.98559	-0.0032067	0.0080998
310	Locus_310	0.0086017	-2.0617	0.98524	-0.0027895	0.0081051
311	Locus_311	0.011402	-1.938	0.96541	0.0084917	0.008278
312	Locus_312	0.0078016	-2.1044	0.98634	0.001664	0.0081429
313	Locus_313	0.0086017	-2.0617	0.98524	-0.0026063	0.0081088
314	Locus_314	0.009802	-2.0044	0.98143	-0.0029938	0.0081121
315	Locus_315	0.010002	-1.9955	0.98046	0.0015994	0.0081554
316	Locus_316	0.010202	-1.9869	0.97909	0.0025636	0.0081658
317	Locus_317	0.0088018	-2.0516	0.9848	-0.0028316	0.0081095
318	Locus_318	0.0090018	-2.0417	0.98432	-0.0010472	0.0081052
319	Locus_319	0.0070014	-2.1518	0.98678	0.0019451	0.0081412
320	Locus_320	0.0096019	-2.0135	0.98232	0.00017633	0.0081356
321	Locus_321	0.012202	-1.9082	0.94901	-0.0049553	0.0080935
322	Locus_322	0.012603	-1.894	0.9404	0.0046853	0.0082002
323	Locus_323	0.0094019	-2.0227	0.98313	-0.00090398	0.0081198
324	Locus_324	0.0092018	-2.0321	0.98375	-0.0044272	0.008092
325	Locus_325	0.010402	-1.9783	0.97742	0.0016979	0.0081536
326	Locus_326	0.0060012	-2.2191	0.98696	-0.00090882	0.008123
327	Locus_327	0.0092018	-2.0321	0.98375	-0.0012189	0.0081146
328	Locus_328	0.011002	-1.9537	0.97113	-0.0036534	0.0081041
329	Locus_329	0.0096019	-2.0135	0.98232	-0.00029404	0.0081329
330	Locus_330	0.011002	-1.9537	0.97113	0.0021402	0.0081778
331	Locus_331	0.0096019	-2.0135	0.98232	-0.0027089	0.0081065
332	Locus_332	0.0090018	-2.0417	0.98432	-0.0021465	0.0081124
333	Locus_333	0.020604	-1.677	0.79663	0.021018	0.0085709
334	Locus_334	0.013003	-1.8803	0.93037	0.0076734	0.0082616
335	Locus_335	0.0086017	-2.0617	0.98524	0.00088543	0.0081347
336	Locus_336	0.0090018	-2.0417	0.98432	-0.00098765	0.0081221
337	Locus_337	0.0068014	-2.1644	0.98682	-0.00097738	0.0081182
338	Locus_338	0.0076015	-2.1158	0.9865	-0.0035904	0.0080948
339	Locus_339	0.010402	-1.9783	0.97742	0.0030444	0.0081761
340	Locus_340	0.010202	-1.9869	0.97909	-0.0044969	0.0080974
341	Locus_341	0.009802	-2.0044	0.98143	0.0017418	0.0081588
342	Locus_342	0.009802	-2.0044	0.98143	-0.0025066	0.0081108
343	Locus_343	0.011802	-1.9229	0.95756	-0.00052169	0.0081537
344	Locus_344	0.0080016	-2.0933	0.98615	-0.0030474	0.0080957
345	Locus_345	0.010002	-1.9955	0.98046	-0.002244	0.0081121
346	Locus_346	0.011002	-1.9537	0.97113	0.0031217	0.0081933
347	Locus_347	0.0082016	-2.0825	0.98589	-0.0015332	0.0081131
348	Locus_348	0.010602	-1.97	0.97573	-0.00083257	0.0081215
349	Locus_349	0.0078016	-2.1044	0.98634	-0.0027402	0.0081057
350	Locus_350	0.011202	-1.9458	0.96841	-0.0013279	0.0081378
351	Locus_351	0.0076015	-2.1158	0.9865	-0.0033406	0.0080943
352	Locus_352	0.010402	-1.9783	0.97742	-0.00055972	0.0081307
353	Locus_353	0.011602	-1.9304	0.96165	-0.0047311	0.0080955
354	Locus_354	0.011402	-1.938	0.96541	0.0019944	0.0081887
355	Locus_355	0.0062012	-2.2048	0.98694	-0.0022864	0.0081056
356	Locus_356	0.0088018	-2.0516	0.9848	-0.0039085	0.0080861
357	Locus_357	0.0080016	-2.0933	0.98615	-0.0033656	0.0080957
358	Locus_358	0.0078016	-2.1044	0.98634	-0.0027337	0.0080988
359	Locus_359	0.010202	-1.9869	0.97909	-0.0017201	0.0081186
360	Locus_360	0.011602	-1.9304	0.96165	-0.004615	0.0080951
361	Locus_361	0.0068014	-2.1644	0.98682	-0.0026665	0.0080949
362	Locus_362	0.0096019	-2.0135	0.98232	-0.0065522	0.0080797
363	Locus_363	0.010402	-1.9783	0.97742	9.53E-05	0.0081406
364	Locus_364	0.0078016	-2.1044	0.98634	-0.0014665	0.0081154
365	Locus_365	0.010802	-1.9618	0.97379	-0.003604	0.0081028
366	Locus_366	0.010402	-1.9783	0.97742	-0.0022533	0.0081067
367	Locus_367	0.0086017	-2.0617	0.98524	-0.0039957	0.0080939
368	Locus_368	0.0096019	-2.0135	0.98232	0.0024554	0.008171
369	Locus_369	0.010402	-1.9783	0.97742	-0.0028951	0.0081138
370	Locus_370	0.010602	-1.97	0.97573	-0.005263	0.008083
371	Locus_371	0.0092018	-2.0321	0.98375	-5.62E-05	0.0081202
372	Locus_372	0.0094019	-2.0227	0.98313	-0.0031432	0.0081036
373	Locus_373	0.010602	-1.97	0.97573	0.0029438	0.0081674
374	Locus_374	0.0084017	-2.072	0.98559	-0.00060038	0.0081334
375	Locus_375	0.010402	-1.9783	0.97742	-0.0012801	0.0081236
376	Locus_376	0.0096019	-2.0135	0.98232	-0.001077	0.0081315
377	Locus_377	0.0082016	-2.0825	0.98589	-0.00035441	0.0081191
378	Locus_378	0.0094019	-2.0227	0.98313	0.0050641	0.0081843
